timestamp,protocol,src_ip,src_port,dst_ip,dst_port,length
2025-11-07 21:38:13,IPv6,,0,,0,91
2025-11-07 21:38:13,IPv6,,0,,0,86
2025-11-07 21:38:13,IPv6,,0,,0,86
2025-11-07 21:38:13,IPv6,,0,,0,86
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,88
2025-11-07 21:38:13,IPv6,,0,,0,88
2025-11-07 21:38:13,TCP,,443,,64755,177
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,TCP,,64755,,443,66
2025-11-07 21:38:13,TCP,,64755,,443,216
2025-11-07 21:38:13,IPv6,,0,,0,86
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,TCP,,443,,64755,66
2025-11-07 21:38:13,IPv6,,0,,0,114
2025-11-07 21:38:13,IPv6,,0,,0,86
2025-11-07 21:38:13,IPv6,,0,,0,1288
2025-11-07 21:38:13,IPv6,,0,,0,1288
2025-11-07 21:38:13,IPv6,,0,,0,248
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,IPv6,,0,,0,172
2025-11-07 21:38:13,IPv6,,0,,0,99
2025-11-07 21:38:13,IPv6,,0,,0,95
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,1288
2025-11-07 21:38:13,IPv6,,0,,0,1292
2025-11-07 21:38:13,IPv6,,0,,0,107
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,IPv6,,0,,0,175
2025-11-07 21:38:13,IPv6,,0,,0,99
2025-11-07 21:38:13,IPv6,,0,,0,95
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,IPv6,,0,,0,1288
2025-11-07 21:38:13,IPv6,,0,,0,1292
2025-11-07 21:38:13,IPv6,,0,,0,344
2025-11-07 21:38:13,IPv6,,0,,0,96
2025-11-07 21:38:13,IPv6,,0,,0,313
2025-11-07 21:38:13,IPv6,,0,,0,1288
2025-11-07 21:38:13,IPv6,,0,,0,99
2025-11-07 21:38:13,IPv6,,0,,0,95
2025-11-07 21:38:13,IPv6,,0,,0,97
2025-11-07 21:38:13,IPv6,,0,,0,87
2025-11-07 21:38:13,IPv6,,0,,0,74
2025-11-07 21:38:13,IPv6,,0,,0,86
